strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pango_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing	sampling_strategy	missing_data	divergence	nonACGTN	rare_mutations	snp_clusters	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_snp_clusters	clock_deviation	batch1	batch2	batch3	batch4	batch5	batch6	batch7	batch8	batch9	batch10	root_ref
Bangladesh/BARJ_CVASU_CTG_503/2020	betacoronavirus	EPI_ISL_450355	?	2020-05-13	Asia	Bangladesh	Chattogram		Asia	Bangladesh	Chattogram	genome	29859	Human	85	Female	?	A	S	Corona (COVID-19) Testing Laboratory and Bangladesh Institute of Tropical & Infectious Diseases	Basic and Applied Research on Jute Project	Md. Sabbir Hossain, Rasel Ahmed, Shah Md Tamim Kabir, Emdadul Mannan Emdad, Md. Nazmul Haq Rony, Eaftekhar Ahmed Rana, Paritous Kumar Biswas, M A Hassan Chowdhury, Md. Shakeel Ahmed, Md. Samiul Haque, Md. Monjurul Alam, Md. Sharifur Rahman, A S M Anwarul Huq, Md. Shahidul Islam, Goutam Buddha Das, AMAM Zonaed Siddiki	https://www.gisaid.org/	?	?	2020-05-20	?												no	no	no	no	no	no	no	no	yes	no	no
Bangladesh/G-104/2020	betacoronavirus	EPI_ISL_600446	?	2020-07-01	Asia	Bangladesh	Dhaka		Asia	Bangladesh	Dhaka	genome	29299	Human	unknown	unknown	?	Unassigned	GR	Institute of Epidemiology Disease Control And Research	Institute for Developing Science and Health Initiatives	Lauren Cowley, Mokibul Hassan Afrad, Sadia Isfat Ara Rahman, Md. Mahfuz-Al-mamun, Firadausi Qadri, Tahmina Shirin	https://www.gisaid.org/	?	?	2020-10-27	?												no	no	no	no	no	no	yes	no	no	no	no
SaudiArabia/KAUST-MAKKAH1525/2020	betacoronavirus	EPI_ISL_678102	?	2020-04-06	Asia	Saudi Arabia	Makkah		Asia	Saudi Arabia	Makkah	genome	29903	Human	unknown	unknown	?	B.1.260	GH	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Amanda Ooi, Luke Esau, Sara Mfarrej, Raeece Naeem, Sharif Hala, Asim Khogeer, Fadwa Alofi, Afrah Alsomali, Jumana Taha, Abdulaziz Alahmadi, Kahled Algithami, Anwar Hashem, Naif Almontashiri, Arnab Pain	https://www.gisaid.org/	?	?	2020-12-06	?												no	no	no	no	yes	no	no	no	no	no	no
SouthAfrica/Tygerberg_233/2020	betacoronavirus	EPI_ISL_3068120	?	2020-05-07	Africa	South Africa	Western Cape	Cape Town Metro	Africa	South Africa	Western Cape	genome	29782	Human	13	Male	?	C.23	GR	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, Stellenbosch University and NHLS Tygerberg Hospital	Susan Engelbrecht, Bronwyn Kleinhans, Kayla Delaney, Gert van Zyl, Wolfgang Preiser	https://www.gisaid.org/	?	?	2021-07-24	?												no	yes	no	no	no	no	no	no	no	no	no
Senegal/SN-MBO-20-1194/2020	betacoronavirus	EPI_ISL_1827930	?	2020-07-16	Africa	Senegal			Africa	Senegal		genome	29866	Human	27	Female	?	B.1	G	Institute for Health Research, Epidemiological Surveillance and Training (IRESSEF)	Abbott Laboratories	Souleymane Mboup, Ambroise Ahouidi, Adbou Padane, Nafissatou Leye, Moustapha Mbow, Aminata Mboup, Papa Alassane Diaw, Cyrille Diedhiou, Aminata Dia , Anna julienne selbe Ndiaye, Ndeye Diabou Diagne, Ana Olivo, Todd Meyer, Barbara Harris, Mary Rodgers, Gavin Cloherty	https://www.gisaid.org/	?	?	2021-05-03	?												yes	no	no	no	no	no	no	no	no	no	no
Singapore/937/2020	betacoronavirus	EPI_ISL_538470	?	2020-04-02	Asia	Singapore			Asia	Singapore		genome	29782	Human	67	Female	?	B.1.39	GH	Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC, Zair X, Lim JX, Li C, Tang WY, Maurer-Stroh S, Barkham TMS, Nagarajan N, Sessions OM	https://www.gisaid.org/	?	?	2020-09-17	?												no	no	no	no	yes	no	no	no	no	no	no
DRC/16145/2020	betacoronavirus	EPI_ISL_591085	?	2020-06-01	Africa	Democratic Republic of the Congo	Kinshasa		Africa	Democratic Republic of the Congo	Kinshasa	genome	29611	Human	33	Male	?	B.1.84	G	Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Francisca Muyembe Mawete, Emmanuel Lokilo Lofiko, Jean Claude Makangara, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Andrew Rambaut, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum	https://www.gisaid.org/	?	?	2020-10-21	?												no	yes	no	no	no	no	no	no	no	no	no
Tunisia/2909/2020	betacoronavirus	EPI_ISL_707791	?	2020-03-02	Africa	Tunisia	Gafsa		Africa	Tunisia	Gafsa	genome	29903	Human	60	Male	?	B.1	G	1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	1-Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Ilhem Boutiba-Ben Boubaker, Sameh Trabelsi, Nissaf Ben Alaya, Maher Kharrat, Alia Ben Kahla, Jalila Ben Khelil, Salma Abid, Sana Ferjani, Mouna Ben Sassi, Mouna Safer, Awatef El MOussi, Habiba Ben Romdhane, Souissi Amira, Ines Mdini, Hanen El Jebari, Asma Ferjani, Gaies Emna, Riadh Daghfous, Riadh Gouider.	https://www.gisaid.org/	?	?	2020-12-15	?												no	yes	no	no	no	no	no	no	no	no	no
Nigeria/LA-CV256/2020	betacoronavirus	EPI_ISL_729940	?	2020-04-20	Africa	Nigeria	Lagos State		Africa	Nigeria	Lagos State	genome	29899	Human	46	Female	?	B.1.1.487	GR	Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al	https://www.gisaid.org/	?	?	2020-12-23	?												no	yes	no	no	no	no	no	no	no	no	no
SouthAfrica/NHLS-UCT-GS-4744/2020	betacoronavirus	EPI_ISL_11789811	?	2020-06-14	Africa	South Africa	Western Cape		Africa	South Africa	Western Cape	genome	29776	Human	20	Female	?	B.1.1.28	GR	Red Cross Children's Hospital wc RXH	NHLS/UCT	Arash Iranzadeh, Innocent Mudau, Marvin Hsiao, Gert Marais, Diana Hardie, Stephen Korsman, Rageema Joseph, Luicer Olubayo, Nokuzola Mbhele, Carolyn Williamson	https://www.gisaid.org/	?	?	2022-04-05	?												no	yes	no	no	no	no	no	no	no	no	no
DRC/16146/2020	betacoronavirus	EPI_ISL_2982621	?	2020-06-03	Africa	Democratic Republic of the Congo	Kinshasa		Africa	Democratic Republic of the Congo	Kinshasa	genome	29611	Human	63	Male	?	B.1.214	G	Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Francisca Muyembe Mawete, Emmanuel Lokilo Lofiko, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Andrew Rambaut, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum	https://www.gisaid.org/	?	?	2021-07-16	?												no	yes	no	no	no	no	no	no	no	no	no
Mongolia/UB-5183/2020	betacoronavirus	EPI_ISL_9879600	?	2020-04-02	Asia	Mongolia			Asia	Mongolia		genome	29873	Human	33	Male	?	B.1	G	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Tsedenbal, Bayasgalan Namuutsetseg, Khishigmunkh Chimedregzen, Seiichiro Fujisaki, Mina Nakauchi, Hideka Miura, Shinji Watanabe, Tsogzolmaa Ganbold, Bumdelger Bayanmunkh, Darmaa Badarch, Nymadawa Pagvajav, Bilegtsaikhan Tsolmon	https://www.gisaid.org/	?	?	2022-02-14	?												no	no	no	no	yes	no	no	no	no	no	no
Somalia/CV1159/2020	betacoronavirus	EPI_ISL_2107094	?	2020-07-08	Africa	Somalia	Awdal		Africa	Somalia	Awdal	genome	29824	Human	25	Male	?	A	S	National Institute of Health (NIH) - Federal Government of Somalia	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye, I.B., Oluniyi, P.E., Eromon, P.E., Oguzie, J.U., Kayode, A.T., Uwanibe, J.N., Ugwu, C.A., Akano, K.O., Ajogbasile, F.V., Abechi, P.S., Olumade, T.J., Nosamiefan, I., Folarin, O., Happi, C.T.	https://www.gisaid.org/	?	?	2021-05-16	?												yes	no	no	no	no	no	no	no	no	no	no
Kenya/K10186/2020	betacoronavirus	EPI_ISL_2602929	?	2020-06-08	Africa	Kenya	Migori		Africa	Kenya	Migori	genome	29737	Human	45	Male	?	A	S	KEMRI-CGHR	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G.,Mohamed K.S.,de Laurent Z.,Mburu M.W.,Matoke D.,Onyango C.,	https://www.gisaid.org/	?	?	2021-06-18	?												no	yes	no	no	no	no	no	no	no	no	no
Malaysia/UNIMAS-11942/2020	betacoronavirus	EPI_ISL_718146	?	2020-07-18	Asia	Malaysia	Sarawak		Asia	Malaysia	Sarawak	genome	29852	Human	39	Male	?	B	L	Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik, Chan Chia Jui	https://www.gisaid.org/	?	?	2020-12-21	?												no	no	no	no	no	no	no	no	no	yes	no
Malawi/COM-SEQ6103/2020	betacoronavirus	EPI_ISL_8889513	?	2020-04-05	Africa	Malawi			Africa	Malawi		genome	29844	Human	unknown	unknown	?	B.1.1	GR	Kamuzu University of Health Sciences, College of Medicine, Department of Pathology	Kamuzu University of Health Sciences, College of Medicine, Department of Pathology	Tonney Nyirenda, Arox W. Kamng'ona, Chisomo Msefula, David Chaima, Chimwemwe Mhango, Jonathan Mandolo, Wanangwa Ndovie, Samuel Gwayi, Chrispin Chaguza, Benjamin Kumwenda, Alistair Darby, Kondwani C. Jambo, Victor Mwapasa, Khuzwayo C. Jere	https://www.gisaid.org/	?	?	2022-01-20	?												no	yes	no	no	no	no	no	no	no	no	no
SouthKorea/KCDC2710/2020	betacoronavirus	EPI_ISL_522489	?	2020-07-08	Asia	South Korea			Asia	South Korea		genome	29901	Human	42	Male	?	B.1.1.294	GR	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Sang Hee Woo, Hye-Jun Jo, Heui Man Kim, Jun-Sub Kim, Myung Guk Han	https://www.gisaid.org/	?	?	2020-08-26	?												no	no	no	no	no	no	yes	no	no	no	no
SouthAfrica/NHLS-UCT-GP-5223/2020	betacoronavirus	EPI_ISL_640102	?	2020-04-29	Africa	South Africa	Western Cape	Klipfontein	Africa	South Africa	Western Cape	genome	29829	Human	47	Female	?	B.1.1.383	GR	Vanguard CHC wc VGC	NHLS/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Kruger Marais, Diana Hardie, Stephen Korsman, Carolyn Williamson	https://www.gisaid.org/	?	?	2020-11-17	?												no	yes	no	no	no	no	no	no	no	no	no
SouthAfrica/KRISP-K001092/2020	betacoronavirus	EPI_ISL_509343	?	2020-07-13	Africa	South Africa	KwaZulu-Natal		Africa	South Africa	KwaZulu-Natal	genome	29856	Human	52	Male	?	B.1.381	G	NHLS-IALCH	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Lessells R, Mdlalose K, York D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2020-08-05	?												yes	no	no	no	no	no	no	no	no	no	no
SaudiArabia/KAUST-JEDDAH866/2020	betacoronavirus	EPI_ISL_513020	?	2020-05-24	Asia	Saudi Arabia	Jeddah		Asia	Saudi Arabia	Jeddah	genome	29903	Human	60	Male	?	B	G	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Afrah Alsomali, Fathia Ben Rached, Raeece Naeem, Sharif Hala, Rahul P Salunke, Amanda Ooi, Luke Esau, Sara Mfarrej, Amit Kumar Subudhi, Fadwa Alofi, Asim Khogeer, Kahled Algithami, Anwar Hashem, Naif Almontashiri, Arnab Pain	https://www.gisaid.org/	?	?	2020-08-12	?												no	no	no	no	no	no	no	no	yes	no	no
Egypt/CUNCI-7I028/2020	betacoronavirus	EPI_ISL_524426	?	2020-07-19	Africa	Egypt			Africa	Egypt		genome	29793	Human	unknown	unknown	?	B.1	GH	Egyptian National Cancer Institute (ENCI)	Egyptian National Cancer Institute (ENCI)	Zekri, Abdel Rahman N., Amer, K.E., Ahmed, O.S., Soliman, H.K., Ali, M.A., Hassan, W.A., Mahmoud, A.A., Khattab, A.A., Hafez, M.M., Abouelhoda, Mohamed	https://www.gisaid.org/	?	?	2020-07-29	?												yes	no	no	no	no	no	no	no	no	no	no
Japan/PG-1684/2020	betacoronavirus	EPI_ISL_685290	?	2020-05-05	Asia	Japan	Hyogo		Asia	Japan	Hyogo	genome	29739	Human	unknown	unknown	?	B.1	GH	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-12-10	?												no	no	no	no	no	no	no	no	yes	no	no
Senegal/087/2020	betacoronavirus	EPI_ISL_418212	?	2020-03-11	Africa	Senegal	Diourbel	Touba	Africa	Senegal	Diourbel	genome	29709	Human	50	Female	?	B.1	G	Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia, Ousmane Faye, Amadou Alpha sall	https://www.gisaid.org/	?	?	2020-03-29	?												no	yes	no	no	no	no	no	no	no	no	no
Zambia/ZMB-21454/2020	betacoronavirus	EPI_ISL_2803333	?	2020-06-04	Africa	Zambia	Lusaka	Lusaka	Africa	Zambia	Lusaka	genome	28877	Human	32	Female	?	Unassigned	G	University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe, Ngonda Saasa, Daniel Bridges, ZNPHI and ZGSC	https://www.gisaid.org/	?	?	2021-07-04	?												no	yes	no	no	no	no	no	no	no	no	no
Nigeria/ON507-CV44/2020	betacoronavirus	EPI_ISL_487111	?	2020-05-24	Africa	Nigeria	Ondo State		Africa	Nigeria	Ondo State	genome	29885	Human	unknown	unknown	?	B.1.1.10	GR	Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E., Ajogbasile F.V., Kayode A., Oguzie J., Olawoye I., Uwanibe J., Olumade T., Folarin O.A., Ihekweazu C., Happi C.T.	https://www.gisaid.org/	?	?	2020-07-13	?												no	yes	no	no	no	no	no	no	no	no	no
Tunisia/TUN_ADAGE_EZ224/2020	betacoronavirus	EPI_ISL_7054620	?	2020-05-27	Africa	Tunisia	Monastir		Africa	Tunisia	Monastir	genome	29832	Human	26	Male	?	B.1.1	GR	Laboratoire de microbiologie	Molecular and Cellular Screening Process Laboratory	Souissi,A., Abid,N., Ben Ayed,I., Gargouri,S., Abdelmoulah,F., Elargoubi,A., Smeti,I., Bensaid,M., Stambouli,N., Kharat,N., Ajili,F., Fki-berrajah,L., Mhalla,S., Chtourou,A., Gaaloul,I., Nabli,A., Turki,M., Aouni,M., Hammami,A., Mastouri,M., Karray Hakim,H., Kamoun,S., Rebai,A. and Masmoudi,S.	https://www.gisaid.org/	?	?	2021-12-03	?												no	yes	no	no	no	no	no	no	no	no	no
Madagascar/IPM-24597/2020	betacoronavirus	EPI_ISL_3716551	?	2020-07-26	Africa	Madagascar	Antananarivo	Bongolava	Africa	Madagascar	Antananarivo	genome	29857	Human	47	Male	?	B.1.1.174	GR	Virology Unit, Institut Pasteur de Madagascar	Institut Pateur de Dakar	Norosoa Razanajatovo, Cara E. Brook, Diagne Moussa Moïse, Diallo Amadou, Dia Ndongo, Christian Ranaivoson, Soa Fy Andriamandimby, Vololoniaina Raharinosy, Sankhe Safietou, Ndiaye Ndack, Tsiry Randriambolamanantsoa, Helisoa Razafimanjato, Jean-Michel Heraud, Loucoubar Cheikh, Faye Ousmane, Sall Amadou Alpha, Philippe Dussart	https://www.gisaid.org/	?	?	2021-08-26	?												yes	no	no	no	no	no	no	no	no	no	no
Mali/UCRC-31/2020	betacoronavirus	EPI_ISL_812967	?	2020-03-31	Africa	Mali			Africa	Mali		genome	29882	Human	unknown	unknown	?	A	S	University Clinical Research Center,  University of Sciences	University Clinical Research Center,  University of Sciences	Diarra, B., Kone, A., Guindo, I., Bane, S., Diakite, M., Dao, S., Iknane, A.A., Doumbia, S.	https://www.gisaid.org/	?	?	2021-01-13	?												no	yes	no	no	no	no	no	no	no	no	no
Iran/GRC-G0-I15-Gorgan/2020	betacoronavirus	EPI_ISL_6258776	?	2020-04-18	Asia	Iran	Gorgan		Asia	Iran	Gorgan	genome	29853	Human	71	Female	?	B.4.2	O	Department of Microbiology, School of Medicine, Golestan University of Medical Sciences, Gorgan, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi, Marzieh Mohseni, Kimia Kahrizi, Abdolvahab Moradi, Alijan Tabarraei, Alireza Tahamtan, Hossein Najmabadi	https://www.gisaid.org/	?	?	2021-11-13	?												no	no	no	no	no	yes	no	no	no	no	no
Israel/CVL-n-6744/2020	betacoronavirus	EPI_ISL_474958	?	2020-04-09	Asia	Israel	Bat-Yam		Asia	Israel	Bat-Yam	genome	29903	Human	83	Male	?	B.1.1.409	GR	Israeli Central Virology laboratory	Israel Central Virology laboratory	Neta Zuckerman, Efrat Dahan Bucris, Oran Erster, Ella Mendelson, Michal Mandelboim	https://www.gisaid.org/	?	?	2020-06-23	?												no	no	no	no	yes	no	no	no	no	no	no
HongKong/HKPU-01166/2020	betacoronavirus	EPI_ISL_1018120	?	2020-06-23	Asia	Hong Kong			Asia	Hong Kong		genome	29782	Human	38	Female	?	B.1.1	GR	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu, Lam-Kwong Lee, Kenneth Siu-Sing Leung, Jake Siu-Lun Leung, Timothy Ting-Leung Ng, Chloe Toi-Mei Chan, Kingsley King-Gee Tam, Hiu-Yin Lao, Denise Sze-Hang Wong, Alan Ka-Lun Wu, Miranda Chong-Yee Yau, Yvette Wai-Man Lai, Kitty Sau-Chun Fung, Sandy Ka-Yee Chau, Barry Kin-Chung Wong, Wing-Kin To, Kristine Luk, Alex Yat-Man Ho, Tak-Lun Que, Kam-Tong Yip, Wing Cheong Yam, David Ho-Keung Shum, Shea Ping Yip	https://www.gisaid.org/	?	?	2021-02-18	?												no	no	no	no	no	no	no	yes	no	no	no
Pakistan/AKUs21/2020	betacoronavirus	EPI_ISL_2629943	?	2020-05-10	Asia	Pakistan			Asia	Pakistan		genome	29773	Human	unknown	unknown	?	B.6	O	Pathology and Laboratory Medicine,  Aga Khan University	Pathology and Laboratory Medicine,  Aga Khan University	Ghanchi,N.K., Iqbal,K.M., Nasir,A., Sabzwari,S.F., Khan,W., Razzak,S., Kanji,A., Hasan,R., Hasan,Z.	https://www.gisaid.org/	?	?	2020-07-08	?												no	no	no	no	no	no	no	no	yes	no	no
Japan/PG-1099/2020	betacoronavirus	EPI_ISL_684709	?	2020-04-18	Asia	Japan	Kumamoto		Asia	Japan	Kumamoto	genome	29766	Human	unknown	unknown	?	B.1.1.55	GR	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-12-10	?												no	no	no	no	no	yes	no	no	no	no	no
Cameroon/R040/2020	betacoronavirus	EPI_ISL_9579587	?	2020-06-10	Africa	Cameroon	Centre	Yaounde	Africa	Cameroon	Centre	genome	29855	Human	31	Female	?	B.1	GH	CREMER (Centre de Recherches sur les Maladies Emergentes Re-emergentes)	CREMER (Centre de Recherches sur les Maladies Emergentes Re-emergentes)	Celestin Godwe, Martin Maidadi Foudi, Dowbiss Meta Djomsi, Marie Amougou, Nicolas Fernandez Nunez, Eitel Mpoudi Ngole, Ahidjo Ayouba, Marcel Tongo, Martine Peeters, Eric Delaporte	https://www.gisaid.org/	?	?	2022-02-06	?												no	yes	no	no	no	no	no	no	no	no	no
Indonesia/SA-EIJK52/2020	betacoronavirus	EPI_ISL_574621	?	2020-06-16	Asia	Indonesia	North Sulawesi	Manado	Asia	Indonesia	North Sulawesi	genome	29782	Human	44	Female	?	B.6	G	BTKLPP Kelas I Manado	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Hidayat Trimarsanto, Frilasita A Yudhaputri, Edison Johar, Iskandar A Adnan, Willy Agustine, David H Muljono, Safarina G Malik, Herawati Sudoyo, Khin Saw Myint, Amin Soebandrio	https://www.gisaid.org/	?	?	2020-10-06	?												no	no	no	no	no	no	no	yes	no	no	no
SouthKorea/KCDC2688/2020	betacoronavirus	EPI_ISL_522468	?	2020-06-30	Asia	South Korea			Asia	South Korea		genome	29867	Human	52	Male	?	B.1.1.63	GR	Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Junyoung Kim, Ae Kyung Park, Eunkyung Shin, Jin Sun No, Jeong-Min Kim, Yoon-Seok Chung, Heui Man Kim, Myung Guk Han	https://www.gisaid.org/	?	?	2020-08-26	?												no	no	no	no	no	no	no	yes	no	no	no
India/GJ-GBRC134/2020	betacoronavirus	EPI_ISL_458089	?	2020-05-24	Asia	India	Gujarat	Ahmedabad	Asia	India	Gujarat	genome	29830	Human	75	Female	?	B.1.523	GH	B.J. Medical College and Civil hospital	Gujarat Biotechnology Research Centre	Pranay Shah, Kamlesh J Upadhyay, Ramesh Pandit, Tejas Shah, Ankit Hinsu, Pritesh Sabara, Apurvasinh Puvar, Janvi Raval, Zarna Patel, Monika Gandhi, Pinal Trivedi, Maharshi Pandya, Amit Kanani, Nidhi Patel, Nitin Savaliya, Raghawendra Kumar, Dinesh Kumar, Zuber Saiyed, Komal Patel, Labdhi Pandya, Snehal Bagatharia, Dhaval Vaghela, Ramesh Patel, Neelam Nathani, Bhavesh Modi, Gaurishankar Shrimali, R D Dixit, A M Kadri, Umang Mishra, Chaitanya Joshi, Madhvi Joshi	https://www.gisaid.org/	?	?	2020-06-03	?												no	no	no	no	no	no	no	no	yes	no	no
India/TG-CCMB-J212/2020	betacoronavirus	EPI_ISL_447564	?	2020-04-01	Asia	India	Telangana	Nizamabad	Asia	India	Telangana	genome	29890	Human	34	Female	?	B.6	O	CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology	Sofia Banu, Payel Mukherjee, Priya Singh, Dhiviya Vedagiri, Divya Gupta, Vishal Sah, Santosh Kumar Kuncha, Krishnan Harinivas Harshan, Archana Bharadwaj Siva, Karthik Bharadwaj Tallapaka, Shagufta Khan, Lamuk Zaveri, Namami Gaur, Sakshi Shambhavi, Tulasi Nagabandi, Purushotham Vodnala, Rakesh K Mishra, Divya Tej Sowpati	https://www.gisaid.org/	?	?	2020-05-17	?												no	no	no	no	yes	no	no	no	no	no	no
Egypt/CPHL-NRC-14/2020	betacoronavirus	EPI_ISL_794598	?	2020-06-02	Africa	Egypt			Africa	Egypt		genome	29821	Human	unknown	unknown	?	B.1	GH	Central Laboratories,  Egyptian Ministry of Health and Population	Central Laboratories,  Egyptian Ministry of Health and Population	Roshdy, W.H., Kayed, A.E., Mostafa, A., El-Shesheny, R., Khalifa, M.K., Shehata, M., Shawky, S., Saleh, M., Gomaa, M., El Taweel, A., Mahmoud, S.H., Moatasim, Y., Kutkat, O., Kamel, M.N., Mahrous, N., El Sayes, M.A., El Guindy, N.M., Naguib, A., Kandeil, A., Kayali, G., Ali, M.A.	https://www.gisaid.org/	?	?	2021-01-08	?												no	yes	no	no	no	no	no	no	no	no	no
Senegal/48776/2020	betacoronavirus	EPI_ISL_8525727	?	2020-05-30	Africa	Senegal	Dakar		Africa	Senegal	Dakar	genome	29771	Human	27	Male	?	B.1.1	GR	Institut Pasteur de Dakar	Institut Pasteur de Dakar	Diallo Amadou, Diagne Moussa Moise,  Dia Ndongo, Sankhe Safietou, Ndiaye Ndack, Loucoubar Cheikh, Faye Ousmane, Sall Amadou Alpha	https://www.gisaid.org/	?	?	2022-01-10	?												no	yes	no	no	no	no	no	no	no	no	no
Nigeria/OY633-CV189/2020	betacoronavirus	EPI_ISL_527914	?	2020-06-16	Africa	Nigeria	Oyo		Africa	Nigeria	Oyo	genome	29844	Human	unknown	unknown	?	B.1.1.71	GR	Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al	https://www.gisaid.org/	?	?	2020-09-05	?												no	yes	no	no	no	no	no	no	no	no	no
Kenya/K10221/2020	betacoronavirus	EPI_ISL_2602908	?	2020-06-08	Africa	Kenya	Turkana		Africa	Kenya	Turkana	genome	29782	Human	29	Male	?	A.23	S	KEMRI-CGHR	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G.,Mohamed K.S.,de Laurent Z.,Mburu M.W.,Matoke D.,Onyango C.,	https://www.gisaid.org/	?	?	2021-06-18	?												no	yes	no	no	no	no	no	no	no	no	no
Guinea/Conakry_IPG002/2020	betacoronavirus	EPI_ISL_2245780	?	2020-03-31	Africa	Guinea	Conakry		Africa	Guinea	Conakry	genome	29816	Human	34	Female	?	B.1.1	GR	Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene, Diagne Moussa Moïse, Dia Ndongo, Diallo Amadou, Mbengue Safietou Sankhe, Ndiaye Ndack, Diop Mamadou, Maimouna Mbanne, Mohamed Kane, Loucoubar Cheikh, Tordo Noel, Faye Ousmane, Sall Amadou Alpha	https://www.gisaid.org/	?	?	2021-05-24	?												no	yes	no	no	no	no	no	no	no	no	no
